sido,sgg,population,lat,long,sido_sgg,sido_code,sgg_code,image_src
강원도,속초,82254,38.207014799999996,128.5918489,강원도 속초,32,5,https://tong.visitkorea.or.kr/cms/resource/40/2616840_image2_1.jpg
강원도,삼척,64073,37.4498683,129.16520590000002,강원도 삼척,32,4,https://tong.visitkorea.or.kr/cms/resource/60/2665260_image2_1.jpg
강원도,홍천,68619,37.6969518,127.8886827,강원도 홍천,32,16,https://tong.visitkorea.or.kr/cms/resource/70/608470_image2_1.jpg
강원도,횡성,46614,37.4917566,127.98492949999999,강원도 횡성,32,18,https://tong.visitkorea.or.kr/cms/resource/21/2657021_image2_1.jpg
강원도,영월,38057,37.183637,128.4617535,강원도 영월,32,8,https://tong.visitkorea.or.kr/cms/resource/85/483785_image2_1.jpg
강원도,평창,41109,37.370474,128.38997690000002,강원도 평창,32,15,https://tong.visitkorea.or.kr/cms/resource/90/2616890_image2_1.jpg
강원도,정선,35952,37.3807549,128.66095049999998,강원도 정선,32,11,https://tong.visitkorea.or.kr/cms/resource/18/582618_image2_1.jpg
강원도,철원,43932,38.14660900000001,127.31322560000001,강원도 철원,32,12,https://tong.visitkorea.or.kr/cms/resource/99/2567099_image2_1.jpg
강원도,화천,24408,38.1056484,127.7080492,강원도 화천,32,17,https://tong.visitkorea.or.kr/cms/resource/81/172381_image2_1.jpg
강원도,양구,22027,38.1100701,127.9898825,강원도 양구,32,6,https://tong.visitkorea.or.kr/cms/resource/15/2668215_image2_1.jpg
강원도,인제,31835,38.0694675,128.17069909999998,강원도 인제,32,10,https://tong.visitkorea.or.kr/cms/resource/55/2607555_image2_1.jpg
강원도,고성,26924,38.3801292,128.46743850000001,강원도 고성,32,2,https://tong.visitkorea.or.kr/cms/resource/87/217287_image2_1.jpg
강원도,양양,28035,38.0753925,128.6188503,강원도 양양,32,7,https://tong.visitkorea.or.kr/cms/resource/47/2711347_image2_1.jpg
충청북도,청주,847392,36.6424341,127.48903190000001,충청북도 청주,33,10,https://tong.visitkorea.or.kr/cms/resource/41/2601641_image2_1.jpg
