,0,1
2916,"('경상남도', '진주')","('경기도', '여주')"
2917,"('경기도', '여주')","('경상남도', '진주')"
2918,"('경상남도', '진주')","('경상남도', '창원')"
2919,"('경상남도', '창원')","('경상남도', '진주')"
2920,"('경상남도', '진주')","('전라남도', '광양')"
2921,"('전라남도', '광양')","('경상남도', '진주')"
2922,"('경상남도', '진주')","('경상남도', '통영')"
2923,"('경상남도', '통영')","('경상남도', '진주')"
2924,"('경상남도', '진주')","('전라남도', '함평')"
2925,"('전라남도', '함평')","('경상남도', '진주')"
2926,"('경상남도', '진주')","('경기도', '이천')"
2927,"('경기도', '이천')","('경상남도', '진주')"
2928,"('경상남도', '진주')","('전라남도', '곡성')"
2929,"('전라남도', '곡성')","('경상남도', '진주')"
2930,"('경상남도', '진주')","('경상북도', '포항')"
2931,"('경상북도', '포항')","('경상남도', '진주')"
2932,"('경상남도', '진주')","('전라남도', '완도')"
2933,"('전라남도', '완도')","('경상남도', '진주')"
2934,"('경상남도', '진주')","('전라남도', '보성')"
2935,"('전라남도', '보성')","('경상남도', '진주')"
2936,"('경상남도', '진주')","('전라남도', '나주')"
2937,"('전라남도', '나주')","('경상남도', '진주')"
2938,"('경상남도', '진주')","('충청북도', '청주')"
2939,"('충청북도', '청주')","('경상남도', '진주')"
2940,"('경상남도', '진주')","('강원도', '속초')"
2941,"('강원도', '속초')","('경상남도', '진주')"
2942,"('경상남도', '진주')","('경기도', '용인')"
2943,"('경기도', '용인')","('경상남도', '진주')"
2944,"('경상남도', '진주')","('전라남도', '순천')"
2945,"('전라남도', '순천')","('경상남도', '진주')"
2946,"('경상남도', '진주')","('경상북도', '구미')"
2947,"('경상북도', '구미')","('경상남도', '진주')"
2948,"('경상남도', '진주')","('충청남도', '보령')"
2949,"('충청남도', '보령')","('경상남도', '진주')"
2950,"('경상남도', '진주')","('전라남도', '영광')"
2951,"('전라남도', '영광')","('경상남도', '진주')"
2952,"('경상남도', '진주')","('대전', '대전')"
2953,"('대전', '대전')","('경상남도', '진주')"
2954,"('경상남도', '진주')","('전라남도', '장성')"
2955,"('전라남도', '장성')","('경상남도', '진주')"
