,depCity,arrCity,routes
0,"('충청북도', '단양')","('경기도', '남양주')",
1,"('경기도', '남양주')","('충청북도', '단양')",
2,"('충청북도', '단양')","('강원도', '횡성')",
3,"('강원도', '횡성')","('충청북도', '단양')",
4,"('충청북도', '단양')","('충청북도', '음성')",
5,"('충청북도', '음성')","('충청북도', '단양')",
6,"('충청북도', '단양')","('광주', '광주')",0.0
7,"('광주', '광주')","('충청북도', '단양')",0.0
8,"('충청북도', '단양')","('경기도', '수원')",
9,"('경기도', '수원')","('충청북도', '단양')",
10,"('충청북도', '단양')","('충청남도', '보령')",
11,"('충청남도', '보령')","('충청북도', '단양')",
12,"('충청북도', '단양')","('경상남도', '밀양')",
13,"('경상남도', '밀양')","('충청북도', '단양')",
14,"('충청북도', '단양')","('강원도', '삼척')",
15,"('강원도', '삼척')","('충청북도', '단양')",
16,"('충청북도', '단양')","('경상북도', '예천')",
17,"('경상북도', '예천')","('충청북도', '단양')",
18,"('충청북도', '단양')","('충청남도', '천안')",
19,"('충청남도', '천안')","('충청북도', '단양')",
20,"('충청북도', '단양')","('경기도', '평택')",
21,"('경기도', '평택')","('충청북도', '단양')",
22,"('충청북도', '단양')","('전라남도', '함평')",
23,"('전라남도', '함평')","('충청북도', '단양')",
24,"('충청북도', '단양')","('경기도', '오산')",
25,"('경기도', '오산')","('충청북도', '단양')",
26,"('충청북도', '단양')","('전라남도', '목포')",
27,"('전라남도', '목포')","('충청북도', '단양')",
28,"('충청북도', '단양')","('충청북도', '옥천')",1.0
29,"('충청북도', '옥천')","('충청북도', '단양')",1.0
30,"('충청북도', '단양')","('경상북도', '포항')",0.0
31,"('경상북도', '포항')","('충청북도', '단양')",0.0
32,"('충청북도', '단양')","('전라북도', '익산')",0.0
33,"('전라북도', '익산')","('충청북도', '단양')",0.0
34,"('충청북도', '단양')","('경기도', '연천')",
35,"('경기도', '연천')","('충청북도', '단양')",
36,"('충청북도', '단양')","('경기도', '파주')",
37,"('경기도', '파주')","('충청북도', '단양')",
38,"('충청북도', '단양')","('강원도', '태백')",
39,"('강원도', '태백')","('충청북도', '단양')",
40,"('충청북도', '단양')","('경상북도', '구미')",
41,"('경상북도', '구미')","('충청북도', '단양')",
42,"('충청북도', '단양')","('충청남도', '아산')",
43,"('충청남도', '아산')","('충청북도', '단양')",
44,"('충청북도', '단양')","('강원도', '강릉')",
45,"('강원도', '강릉')","('충청북도', '단양')",
46,"('충청북도', '단양')","('강원도', '동해')",
47,"('강원도', '동해')","('충청북도', '단양')",
48,"('충청북도', '단양')","('경기도', '양평')",
49,"('경기도', '양평')","('충청북도', '단양')",
50,"('충청북도', '단양')","('강원도', '원주')",
51,"('강원도', '원주')","('충청북도', '단양')",
52,"('충청북도', '단양')","('강원도', '정선')",
53,"('강원도', '정선')","('충청북도', '단양')",
54,"('충청북도', '단양')","('경상북도', '안동')",
55,"('경상북도', '안동')","('충청북도', '단양')",
56,"('충청북도', '단양')","('경기도', '화성')",0.0
57,"('경기도', '화성')","('충청북도', '단양')",0.0
58,"('충청북도', '단양')","('경상북도', '영주')",
59,"('경상북도', '영주')","('충청북도', '단양')",
60,"('충청북도', '단양')","('경상북도', '의성')",
61,"('경상북도', '의성')","('충청북도', '단양')",
62,"('충청북도', '단양')","('경상남도', '양산')",
63,"('경상남도', '양산')","('충청북도', '단양')",
64,"('충청북도', '단양')","('전라남도', '나주')",0.0
65,"('전라남도', '나주')","('충청북도', '단양')",0.0
66,"('충청북도', '단양')","('전라북도', '군산')",0.0
67,"('전라북도', '군산')","('충청북도', '단양')",0.0
68,"('충청북도', '단양')","('충청남도', '예산')",0.0
69,"('충청남도', '예산')","('충청북도', '단양')",0.0
70,"('충청북도', '단양')","('충청북도', '충주')",
71,"('충청북도', '충주')","('충청북도', '단양')",
72,"('충청북도', '단양')","('전라북도', '김제')",
73,"('전라북도', '김제')","('충청북도', '단양')",
74,"('충청북도', '단양')","('경상북도', '칠곡')",
75,"('경상북도', '칠곡')","('충청북도', '단양')",
76,"('충청북도', '단양')","('경상남도', '창원')",0.0
77,"('경상남도', '창원')","('충청북도', '단양')",0.0
78,"('충청북도', '단양')","('충청북도', '제천')",
79,"('충청북도', '제천')","('충청북도', '단양')",
80,"('충청북도', '단양')","('전라남도', '광양')",
81,"('전라남도', '광양')","('충청북도', '단양')",
82,"('충청북도', '단양')","('세종', '세종')",
83,"('세종', '세종')","('충청북도', '단양')",
84,"('충청북도', '단양')","('경기도', '안양')",
85,"('경기도', '안양')","('충청북도', '단양')",
86,"('충청북도', '단양')","('전라북도', '임실')",
87,"('전라북도', '임실')","('충청북도', '단양')",
88,"('충청북도', '단양')","('전라북도', '남원')",
89,"('전라북도', '남원')","('충청북도', '단양')",
90,"('충청북도', '단양')","('경상남도', '진주')",
91,"('경상남도', '진주')","('충청북도', '단양')",
92,"('충청북도', '단양')","('경상남도', '하동')",
93,"('경상남도', '하동')","('충청북도', '단양')",
94,"('충청북도', '단양')","('경기도', '동두천')",
95,"('경기도', '동두천')","('충청북도', '단양')",
96,"('충청북도', '단양')","('경상남도', '김해')",
97,"('경상남도', '김해')","('충청북도', '단양')",
98,"('충청북도', '단양')","('충청북도', '영동')",
99,"('충청북도', '영동')","('충청북도', '단양')",
100,"('충청북도', '단양')","('대구', '대구')",
101,"('대구', '대구')","('충청북도', '단양')",
102,"('충청북도', '단양')","('경상북도', '영덕')",
103,"('경상북도', '영덕')","('충청북도', '단양')",
104,"('충청북도', '단양')","('경상북도', '경주')",
105,"('경상북도', '경주')","('충청북도', '단양')",
106,"('충청북도', '단양')","('경상북도', '상주')",
107,"('경상북도', '상주')","('충청북도', '단양')",
108,"('충청북도', '단양')","('전라북도', '완주')",
109,"('전라북도', '완주')","('충청북도', '단양')",
110,"('충청북도', '단양')","('경상북도', '영천')",
111,"('경상북도', '영천')","('충청북도', '단양')",
112,"('충청북도', '단양')","('전라북도', '전주')",
113,"('전라북도', '전주')","('충청북도', '단양')",
114,"('충청북도', '단양')","('강원도', '평창')",
115,"('강원도', '평창')","('충청북도', '단양')",
116,"('충청북도', '단양')","('충청남도', '논산')",
117,"('충청남도', '논산')","('충청북도', '단양')",
118,"('충청북도', '단양')","('경상북도', '경산')",
119,"('경상북도', '경산')","('충청북도', '단양')",
120,"('충청북도', '단양')","('전라북도', '정읍')",
121,"('전라북도', '정읍')","('충청북도', '단양')",
122,"('충청북도', '단양')","('충청남도', '서천')",
123,"('충청남도', '서천')","('충청북도', '단양')",
124,"('충청북도', '단양')","('충청남도', '계룡')",0.0
125,"('충청남도', '계룡')","('충청북도', '단양')",0.0
126,"('충청북도', '단양')","('강원도', '영월')",
127,"('강원도', '영월')","('충청북도', '단양')",
128,"('충청북도', '단양')","('경상북도', '문경')",0.0
129,"('경상북도', '문경')","('충청북도', '단양')",0.0
130,"('충청북도', '단양')","('부산', '부산')",
131,"('부산', '부산')","('충청북도', '단양')",
132,"('충청북도', '단양')","('경기도', '가평')",
133,"('경기도', '가평')","('충청북도', '단양')",
134,"('충청북도', '단양')","('경상북도', '봉화')",
135,"('경상북도', '봉화')","('충청북도', '단양')",
136,"('충청북도', '단양')","('울산', '울산')",
137,"('울산', '울산')","('충청북도', '단양')",
138,"('충청북도', '단양')","('전라남도', '곡성')",0.0
139,"('전라남도', '곡성')","('충청북도', '단양')",0.0
140,"('충청북도', '단양')","('전라남도', '보성')",
141,"('전라남도', '보성')","('충청북도', '단양')",
142,"('충청북도', '단양')","('전라남도', '화순')",
143,"('전라남도', '화순')","('충청북도', '단양')",
144,"('충청북도', '단양')","('경상북도', '청도')",0.0
145,"('경상북도', '청도')","('충청북도', '단양')",0.0
146,"('충청북도', '단양')","('경기도', '광명')",
147,"('경기도', '광명')","('충청북도', '단양')",
148,"('충청북도', '단양')","('대전', '대전')",
149,"('대전', '대전')","('충청북도', '단양')",
150,"('충청북도', '단양')","('충청남도', '공주')",
151,"('충청남도', '공주')","('충청북도', '단양')",
152,"('충청북도', '단양')","('인천', '인천')",
153,"('인천', '인천')","('충청북도', '단양')",
154,"('충청북도', '단양')","('경상북도', '김천')",
155,"('경상북도', '김천')","('충청북도', '단양')",
156,"('충청북도', '단양')","('강원도', '철원')",
157,"('강원도', '철원')","('충청북도', '단양')",
158,"('충청북도', '단양')","('경기도', '의정부')",
159,"('경기도', '의정부')","('충청북도', '단양')",
160,"('충청북도', '단양')","('경기도', '고양')",
161,"('경기도', '고양')","('충청북도', '단양')",
162,"('충청북도', '단양')","('전라남도', '순천')",0.0
163,"('전라남도', '순천')","('충청북도', '단양')",0.0
164,"('충청북도', '단양')","('전라남도', '장성')",
165,"('전라남도', '장성')","('충청북도', '단양')",
166,"('충청북도', '단양')","('경상남도', '함안')",
167,"('경상남도', '함안')","('충청북도', '단양')",
168,"('충청북도', '단양')","('서울', '서울')",1.0
169,"('서울', '서울')","('충청북도', '단양')",1.0
170,"('충청북도', '단양')","('전라남도', '여수')",
171,"('전라남도', '여수')","('충청북도', '단양')",
172,"('충청북도', '단양')","('경상북도', '군위')",
173,"('경상북도', '군위')","('충청북도', '단양')",
174,"('충청북도', '단양')","('경기도', '부천')",0.0
175,"('경기도', '부천')","('충청북도', '단양')",0.0
176,"('충청북도', '단양')","('충청남도', '홍성')",
177,"('충청남도', '홍성')","('충청북도', '단양')",
178,"('충청북도', '단양')","('강원도', '춘천')",0.0
179,"('강원도', '춘천')","('충청북도', '단양')",0.0
180,"('충청북도', '단양')","('전라남도', '무안')",
181,"('전라남도', '무안')","('충청북도', '단양')",
182,"('충청북도', '단양')","('경상남도', '사천')",
183,"('경상남도', '사천')","('충청북도', '단양')",
184,"('충청북도', '단양')","('충청북도', '청주')",
185,"('충청북도', '청주')","('충청북도', '단양')",
186,"('충청북도', '단양')","('충청북도', '증평')",
187,"('충청북도', '증평')","('충청북도', '단양')",
188,"('경기도', '남양주')","('강원도', '횡성')",
189,"('강원도', '횡성')","('경기도', '남양주')",
190,"('경기도', '남양주')","('충청북도', '음성')",
191,"('충청북도', '음성')","('경기도', '남양주')",
192,"('경기도', '남양주')","('광주', '광주')",0.0
193,"('광주', '광주')","('경기도', '남양주')",0.0
194,"('경기도', '남양주')","('경기도', '수원')",
195,"('경기도', '수원')","('경기도', '남양주')",
196,"('경기도', '남양주')","('충청남도', '보령')",
197,"('충청남도', '보령')","('경기도', '남양주')",
198,"('경기도', '남양주')","('경상남도', '밀양')",
199,"('경상남도', '밀양')","('경기도', '남양주')",
200,"('경기도', '남양주')","('강원도', '삼척')",
201,"('강원도', '삼척')","('경기도', '남양주')",
