,0,1
2706,"('충청남도', '계룡')","('대전', '대전')"
2707,"('대전', '대전')","('충청남도', '계룡')"
2708,"('충청남도', '계룡')","('경기도', '동두천')"
2709,"('경기도', '동두천')","('충청남도', '계룡')"
2710,"('충청남도', '계룡')","('경상남도', '밀양')"
2711,"('경상남도', '밀양')","('충청남도', '계룡')"
2712,"('충청남도', '계룡')","('강원도', '철원')"
2713,"('강원도', '철원')","('충청남도', '계룡')"
2714,"('충청남도', '계룡')","('강원도', '강릉')"
2715,"('강원도', '강릉')","('충청남도', '계룡')"
2716,"('충청남도', '계룡')","('충청남도', '홍성')"
2717,"('충청남도', '홍성')","('충청남도', '계룡')"
2718,"('충청남도', '계룡')","('경상북도', '군위')"
2719,"('경상북도', '군위')","('충청남도', '계룡')"
2720,"('충청남도', '계룡')","('충청남도', '공주')"
2721,"('충청남도', '공주')","('충청남도', '계룡')"
2722,"('충청남도', '계룡')","('전라남도', '장성')"
2723,"('전라남도', '장성')","('충청남도', '계룡')"
2724,"('충청남도', '계룡')","('강원도', '동해')"
2725,"('강원도', '동해')","('충청남도', '계룡')"
2726,"('충청남도', '계룡')","('경기도', '가평')"
2727,"('경기도', '가평')","('충청남도', '계룡')"
2728,"('충청남도', '계룡')","('강원도', '태백')"
2729,"('강원도', '태백')","('충청남도', '계룡')"
2730,"('충청남도', '계룡')","('충청북도', '청주')"
2731,"('충청북도', '청주')","('충청남도', '계룡')"
2732,"('충청남도', '계룡')","('경상북도', '칠곡')"
2733,"('경상북도', '칠곡')","('충청남도', '계룡')"
2734,"('충청남도', '계룡')","('경기도', '의정부')"
2735,"('경기도', '의정부')","('충청남도', '계룡')"
2736,"('충청남도', '계룡')","('전라남도', '무안')"
2737,"('전라남도', '무안')","('충청남도', '계룡')"
2738,"('충청남도', '계룡')","('충청북도', '음성')"
2739,"('충청북도', '음성')","('충청남도', '계룡')"
2740,"('충청남도', '계룡')","('경상남도', '진주')"
2741,"('경상남도', '진주')","('충청남도', '계룡')"
2742,"('충청남도', '계룡')","('강원도', '평창')"
2743,"('강원도', '평창')","('충청남도', '계룡')"
2744,"('충청남도', '계룡')","('경상남도', '양산')"
2745,"('경상남도', '양산')","('충청남도', '계룡')"
2746,"('충청남도', '계룡')","('전라북도', '김제')"
2747,"('전라북도', '김제')","('충청남도', '계룡')"
2748,"('충청남도', '계룡')","('전라북도', '임실')"
2749,"('전라북도', '임실')","('충청남도', '계룡')"
2750,"('충청남도', '계룡')","('충청남도', '보령')"
2751,"('충청남도', '보령')","('충청남도', '계룡')"
2752,"('충청남도', '계룡')","('충청북도', '제천')"
2753,"('충청북도', '제천')","('충청남도', '계룡')"
2754,"('충청남도', '계룡')","('충청북도', '영동')"
2755,"('충청북도', '영동')","('충청남도', '계룡')"
2756,"('충청남도', '계룡')","('충청남도', '천안')"
2757,"('충청남도', '천안')","('충청남도', '계룡')"
2758,"('충청남도', '계룡')","('전라북도', '정읍')"
2759,"('전라북도', '정읍')","('충청남도', '계룡')"
2760,"('충청남도', '계룡')","('경상북도', '영덕')"
2761,"('경상북도', '영덕')","('충청남도', '계룡')"
2762,"('충청남도', '계룡')","('경상북도', '김천')"
2763,"('경상북도', '김천')","('충청남도', '계룡')"
2764,"('충청남도', '계룡')","('대구', '대구')"
2765,"('대구', '대구')","('충청남도', '계룡')"
2766,"('충청남도', '계룡')","('전라남도', '목포')"
2767,"('전라남도', '목포')","('충청남도', '계룡')"
2768,"('경상남도', '창원')","('경상북도', '예천')"
2769,"('경상북도', '예천')","('경상남도', '창원')"
2770,"('경상남도', '창원')","('전라남도', '보성')"
2771,"('전라남도', '보성')","('경상남도', '창원')"
2772,"('경상남도', '창원')","('경상북도', '상주')"
2773,"('경상북도', '상주')","('경상남도', '창원')"
2774,"('경상남도', '창원')","('경기도', '파주')"
2775,"('경기도', '파주')","('경상남도', '창원')"
2776,"('경상남도', '창원')","('경상북도', '경주')"
