sido,sgg,total_population,male_population,female_population
전라북도,임실군,27009,13828,13181
전라북도,순창군,27283,13326,13957
전라북도,고창군,53869,26716,27153
전라북도,부안군,51419,25563,25856
전라남도,전라남도,1840921,926398,914523
전라남도,목포시,220794,109995,110799
전라남도,여수시,278481,142137,136344
전라남도,순천시,281816,140664,141152
전라남도,나주시,116513,58762,57751
전라남도,광양시,150591,78601,71990
전라남도,담양군,46522,23607,22915
전라남도,곡성군,27916,13697,14219
전라남도,구례군,25255,12304,12951
전라남도,고흥군,63374,30813,32561
전라남도,보성군,39838,19462,20376
전라남도,화순군,62153,30733,31420
전라남도,장흥군,37028,18009,19019
전라남도,강진군,34248,16581,17667
전라남도,해남군,68055,33683,34372
전라남도,영암군,53290,27555,25735
전라남도,무안군,88660,44566,44094
전라남도,함평군,31526,15889,15637
전라남도,영광군,52487,26217,26270
전라남도,장성군,43915,22524,21391
전라남도,완도군,49404,24895,24509
전라남도,진도군,30368,15052,15316
전라남도,신안군,38687,20652,18035
경상북도,경상북도,2632401,1326844,1305557
경상북도,포항시,503634,255017,248617
경상북도,경주시,252602,126429,126173
경상북도,김천시,140293,70444,69849
경상북도,안동시,157805,78116,79689
경상북도,구미시,414284,212841,201443
경상북도,영주시,102440,50850,51590
경상북도,영천시,102099,51967,50132
경상북도,상주시,96273,47235,49038
경상북도,문경시,71409,35098,36311
경상북도,경산시,266747,134238,132509
경상북도,군위군,22924,11730,11194
경상북도,의성군,51099,25016,26083
경상북도,청송군,24784,12359,12425
경상북도,영양군,16411,8179,8232
경상북도,영덕군,35779,16972,18807
경상북도,청도군,41847,20580,21267
경상북도,고령군,30927,15879,15048
경상북도,성주군,42964,22238,20726
경상북도,칠곡군,114016,59430,54586
경상북도,예천군,55784,27398,28386
경상북도,봉화군,31084,15680,15404
경상북도,울진군,48206,24213,23993
경상북도,울릉군,8990,4935,4055
경상남도,경상남도,3325840,1674612,1651228
경상남도,창원시,1034527,524225,510302
경상남도,진주시,347204,171653,175551
경상남도,통영시,126413,63516,62897
경상남도,사천시,110414,55729,54685
경상남도,김해시,539841,273017,266824
경상남도,밀양시,104070,51109,52961
경상남도,거제시,243200,127510,115690
경상남도,양산시,353686,177308,176378
경상남도,의령군,26526,13035,13491
경상남도,함안군,63157,32088,31069
경상남도,창녕군,60754,30247,30507
경상남도,고성군,50933,25551,25382
경상남도,남해군,42650,20633,22017
경상남도,하동군,44065,22015,22050
경상남도,산청군,34587,16992,17595
경상남도,함양군,38793,18746,20047
경상남도,거창군,61555,30214,31341
경상남도,합천군,43465,21024,22441
경상남도,마산시,368899,184248,184651
경상남도,진해시,193430,99206,94224
제주특별자치도,제주특별자치도,675293,338766,336527
제주특별자치도,제주시,492627,246476,246151
제주특별자치도,서귀포시,182666,92290,90376
