,terminalId,terminalNm,city
143,NAI0372901,홍제삼거리,서울특별시
144,NAI0373001,무악재역,서울특별시
145,NAI0373101,서울안산초등학교,서울특별시
146,NAI0373201,독립문역,서울특별시
147,NAI0373401,영천시장,서울특별시
148,NAI0373402,영천,서울특별시
149,NAI0373801,서대문역(신라스테이),서울특별시
150,NAI0374101,충정로역,서울특별시
151,NAI0376001,이화여대후문,서울특별시
152,NAI0376101,이대입구역,서울특별시
153,NAI0378001,캐피탈호텔(이태원),서울특별시
154,NAI0378901,신촌현대백화점,서울특별시
155,NAI0390301,월드컵파크7단지,서울특별시
156,NAI0390401,월드컵파크5단지,서울특별시
157,NAI1093301,여성회관,경기도
158,NAI1094401,앞골입구,경기도
159,NAI1094502,영태5리,경기도
160,NAI1094503,영태1리,경기도
161,NAI1094601,월롱역,경기도
162,NAI1100001,연천,경기도
163,NAI1100901,신망리,경기도
164,NAI1101401,연천역,경기도
165,NAI1101501,연천군청,경기도
166,NAI1101601,중앙약국,경기도
167,NAI1101801,통현,경기도
168,NAI1102101,백의리,경기도
169,NAI1102301,초성2리,경기도
170,NAI1102302,학담,경기도
171,NAI1102701,한탄강,경기도
172,NAI1102801,전곡,경기도
173,NAI1110101,6사단,경기도
174,NAI1110102,초과2리,경기도
175,NAI1110103,관인,경기도
176,NAI1110201,송정검문소,경기도
177,NAI1110202,육호,경기도
178,NAI1110203,팔오동,경기도
179,NAI1110204,자일리,경기도
180,NAI1110601,운천,경기도
181,NAI1110701,문암리,경기도
182,NAI1110901,야미리,경기도
183,NAI1110902,야미1리,경기도
184,NAI1111001,광덕고개,경기도
185,NAI1111002,약사,경기도
186,NAI1111003,백운동,경기도
187,NAI1111004,도평리,경기도
188,NAI1111005,도평3리,경기도
189,NAI1111101,이동,경기도
190,NAI1111201,노곡리,경기도
191,NAI1111501,파주골,경기도
192,NAI1111601,일동,경기도
193,NAI1111602,산내지,경기도
194,NAI1112201,유동리,경기도
195,NAI1112301,화현,경기도
196,NAI1112302,운악산휴게소,경기도
197,NAI1112601,영평,경기도
198,NAI1112701,성동1리,경기도
199,NAI1112702,성동2리,경기도
200,NAI1112801,성동,경기도
201,NAI1112901,양문,경기도
202,NAI1113001,신장(경기),경기도
203,NAI1113101,새내지,경기도
204,NAI1113701,신북(경기),경기도
205,NAI1113801,경성대,경기도
206,NAI1113901,만세교,경기도
207,NAI1114501,포천,경기도
208,NAI1115801,군단앞(포천),경기도
209,NAI1115901,대진대,경기도
210,NAI1116001,선단리,경기도
211,NAI1116401,가산,경기도
212,NAI1116901,송우리,경기도
213,NAI1118401,축석고개,경기도
214,NAI1118801,서파,경기도
215,NAI1118802,소학리,경기도
216,NAI1119201,내촌(포천),경기도
217,NAI1123902,세마역,경기도
