sido,sgg,population,lat,long,sido_sgg
전라남도,나주,116513,35.016060100000004,126.71075719999999,전라남도 나주
전라남도,광양,150591,34.9406968,127.6958882,전라남도 광양
전라남도,담양,46522,35.3211394,126.9881673,전라남도 담양
전라남도,곡성,27916,35.28195529999999,127.29191750000001,전라남도 곡성
전라남도,구례,25255,35.2024947,127.4626534,전라남도 구례
전라남도,고흥,63374,34.6112219,127.28497800000001,전라남도 고흥
전라남도,보성,39838,34.7714563,127.07989440000001,전라남도 보성
전라남도,화순,62153,35.0645029,126.9864799,전라남도 화순
전라남도,장흥,37028,34.6816856,126.90692779999999,전라남도 장흥
전라남도,강진,34248,34.6420774,126.767261,전라남도 강진
전라남도,해남,68055,34.5732516,126.5989274,전라남도 해남
전라남도,영암,53290,34.8001685,126.6967918,전라남도 영암
전라남도,무안,88660,34.9904542,126.48168559999999,전라남도 무안
전라남도,함평,31526,35.0659399,126.5165524,전라남도 함평
전라남도,영광,52487,35.2771719,126.51198740000001,전라남도 영광
전라남도,장성,43915,35.3018333,126.78485409999999,전라남도 장성
전라남도,완도,49404,34.3110596,126.7550541,전라남도 완도
전라남도,진도,30368,34.4868712,126.26348529999999,전라남도 진도
전라남도,신안,38687,34.827332,126.101074,전라남도 신안
경상북도,포항,503634,36.01901779999999,129.3434808,경상북도 포항
경상북도,경주,252602,35.8561719,129.2247477,경상북도 경주
경상북도,김천,140293,36.1398393,128.1135947,경상북도 김천
경상북도,안동,157805,36.568354299999996,128.729357,경상북도 안동
경상북도,구미,414284,36.119485,128.34457340000003,경상북도 구미
경상북도,영주,102440,36.80568579999999,128.6240551,경상북도 영주
경상북도,영천,102099,35.973291499999995,128.9385493,경상북도 영천
경상북도,상주,96273,36.4109466,128.1590828,경상북도 상주
경상북도,문경,71409,36.586148,128.1867972,경상북도 문경
경상북도,경산,266747,35.8250555,128.7415441,경상북도 경산
경상북도,군위,22924,36.2428355,128.5727702,경상북도 군위
경상북도,의성,51099,36.3526576,128.6970053,경상북도 의성
경상북도,청송,24784,36.4359045,129.05710770000002,경상북도 청송
경상북도,영양,16411,36.666655799999994,129.1124007,경상북도 영양
경상북도,영덕,35779,36.4150799,129.36596809999998,경상북도 영덕
경상북도,청도,41847,35.6472706,128.7339107,경상북도 청도
경상북도,고령,30927,35.7261415,128.262953,경상북도 고령
경상북도,성주,42964,35.9190079,128.28297379999998,경상북도 성주
경상북도,칠곡,114016,35.9953059,128.4015434,경상북도 칠곡
경상북도,예천,55784,36.657700399999996,128.4528808,경상북도 예천
경상북도,봉화,31084,36.8930933,128.7323752,경상북도 봉화
경상북도,울진,48206,36.9930661,129.4004195,경상북도 울진
경상북도,울릉,8990,37.4844171,130.90580020000002,경상북도 울릉
경상남도,창원,1034527,35.2279868,128.68181429999998,경상남도 창원
경상남도,진주,347204,35.179981700000006,128.1076213,경상남도 진주
경상남도,통영,126413,34.8544227,128.43318200000002,경상남도 통영
경상남도,사천,110414,35.00377879999999,128.064185,경상남도 사천
경상남도,김해,539841,35.2285451,128.8893517,경상남도 김해
경상남도,밀양,104070,35.5037598,128.7464415,경상남도 밀양
경상남도,거제,243200,34.8806427,128.6210824,경상남도 거제
경상남도,양산,353686,35.33500720000001,129.0371689,경상남도 양산
경상남도,의령,26526,35.3221896,128.261658,경상남도 의령
경상남도,함안,63157,35.2725591,128.4064797,경상남도 함안
경상남도,창녕,60754,35.544556299999996,128.4922143,경상남도 창녕
경상남도,고성,50933,34.973149,128.3222456,경상남도 고성
경상남도,남해,42650,34.8376721,127.89242340000001,경상남도 남해
경상남도,하동,44065,35.0672108,127.7512687,경상남도 하동
경상남도,산청,34587,35.4155885,127.87349809999999,경상남도 산청
경상남도,함양,38793,35.5204614,127.7251763,경상남도 함양
경상남도,거창,61555,35.6867229,127.9095155,경상남도 거창
경상남도,합천,43465,35.566575799999995,128.16579950000002,경상남도 합천
경상남도,마산,368899,35.213516,128.581433,경상남도 마산
경상남도,진해,193430,35.1330251,128.7100381,경상남도 진해
제주도,제주,492627,33.4996213,126.5311884,제주도 제주
제주도,서귀포,182666,33.2541205,126.560076,제주도 서귀포
