,depCity,arrCity,routes
111,"('충청북도', '증평')","('경상남도', '창원')",0.0
112,"('경상남도', '창원')","('전라남도', '함평')",1.0
113,"('전라남도', '함평')","('경상남도', '창원')",1.0
114,"('경상남도', '창원')","('경상북도', '칠곡')",1.0
115,"('경상북도', '칠곡')","('경상남도', '창원')",1.0
116,"('경상남도', '창원')","('경기도', '연천')",0.0
117,"('경기도', '연천')","('경상남도', '창원')",0.0
118,"('경상남도', '창원')","('충청남도', '예산')",0.0
119,"('충청남도', '예산')","('경상남도', '창원')",0.0
120,"('경상남도', '창원')","('충청북도', '청주')",1.0
121,"('충청북도', '청주')","('경상남도', '창원')",1.0
122,"('경상남도', '창원')","('전라북도', '정읍')",0.0
123,"('전라북도', '정읍')","('경상남도', '창원')",0.0
124,"('경상남도', '창원')","('경상북도', '경주')",1.0
125,"('경상북도', '경주')","('경상남도', '창원')",1.0
126,"('경상남도', '창원')","('경기도', '의정부')",0.0
127,"('경기도', '의정부')","('경상남도', '창원')",0.0
128,"('경상남도', '창원')","('전라남도', '곡성')",0.0
129,"('전라남도', '곡성')","('경상남도', '창원')",0.0
130,"('경상남도', '창원')","('전라남도', '보성')",1.0
131,"('전라남도', '보성')","('경상남도', '창원')",1.0
132,"('경상남도', '창원')","('전라남도', '무안')",1.0
133,"('전라남도', '무안')","('경상남도', '창원')",1.0
134,"('경상남도', '창원')","('강원도', '태백')",0.0
135,"('강원도', '태백')","('경상남도', '창원')",0.0
136,"('경상남도', '창원')","('충청남도', '아산')",1.0
137,"('충청남도', '아산')","('경상남도', '창원')",1.0
138,"('경상남도', '창원')","('경기도', '광명')",1.0
139,"('경기도', '광명')","('경상남도', '창원')",1.0
140,"('경상남도', '창원')","('경기도', '부천')",0.0
141,"('경기도', '부천')","('경상남도', '창원')",0.0
142,"('경상남도', '창원')","('충청북도', '영동')",1.0
143,"('충청북도', '영동')","('경상남도', '창원')",1.0
144,"('경상남도', '창원')","('경상북도', '영덕')",0.0
145,"('경상북도', '영덕')","('경상남도', '창원')",0.0
146,"('경상남도', '창원')","('경상북도', '영천')",0.0
147,"('경상북도', '영천')","('경상남도', '창원')",0.0
148,"('경상남도', '창원')","('강원도', '동해')",0.0
149,"('강원도', '동해')","('경상남도', '창원')",0.0
150,"('경상남도', '창원')","('경상북도', '김천')",1.0
151,"('경상북도', '김천')","('경상남도', '창원')",1.0
152,"('경상남도', '창원')","('경상북도', '구미')",1.0
153,"('경상북도', '구미')","('경상남도', '창원')",1.0
154,"('경상남도', '창원')","('경상남도', '하동')",1.0
155,"('경상남도', '하동')","('경상남도', '창원')",1.0
156,"('경상남도', '창원')","('서울', '서울')",1.0
157,"('서울', '서울')","('경상남도', '창원')",1.0
158,"('경상남도', '창원')","('강원도', '철원')",0.0
159,"('강원도', '철원')","('경상남도', '창원')",0.0
160,"('경상남도', '창원')","('전라북도', '김제')",0.0
161,"('전라북도', '김제')","('경상남도', '창원')",0.0
162,"('경상남도', '창원')","('강원도', '평창')",0.0
163,"('강원도', '평창')","('경상남도', '창원')",0.0
164,"('경상남도', '창원')","('충청북도', '옥천')",0.0
165,"('충청북도', '옥천')","('경상남도', '창원')",0.0
166,"('경상남도', '창원')","('경기도', '동두천')",0.0
167,"('경기도', '동두천')","('경상남도', '창원')",0.0
168,"('경상남도', '창원')","('강원도', '영월')",0.0
169,"('강원도', '영월')","('경상남도', '창원')",0.0
170,"('경상남도', '창원')","('경상북도', '문경')",0.0
171,"('경상북도', '문경')","('경상남도', '창원')",0.0
172,"('경상남도', '창원')","('전라북도', '군산')",0.0
173,"('전라북도', '군산')","('경상남도', '창원')",0.0
174,"('경상남도', '창원')","('충청남도', '홍성')",0.0
175,"('충청남도', '홍성')","('경상남도', '창원')",0.0
176,"('경상남도', '창원')","('경기도', '수원')",1.0
177,"('경기도', '수원')","('경상남도', '창원')",1.0
178,"('경상남도', '창원')","('강원도', '정선')",0.0
179,"('강원도', '정선')","('경상남도', '창원')",0.0
180,"('경상남도', '창원')","('경상북도', '포항')",1.0
181,"('경상북도', '포항')","('경상남도', '창원')",1.0
182,"('경상남도', '창원')","('충청남도', '서천')",0.0
183,"('충청남도', '서천')","('경상남도', '창원')",0.0
184,"('경상남도', '창원')","('경기도', '남양주')",0.0
185,"('경기도', '남양주')","('경상남도', '창원')",0.0
186,"('경상남도', '창원')","('충청남도', '논산')",0.0
187,"('충청남도', '논산')","('경상남도', '창원')",0.0
188,"('전라남도', '화순')","('대전', '대전')",
189,"('대전', '대전')","('전라남도', '화순')",
190,"('전라남도', '화순')","('경상남도', '함안')",1.0
191,"('경상남도', '함안')","('전라남도', '화순')",1.0
192,"('전라남도', '화순')","('경기도', '양평')",0.0
193,"('경기도', '양평')","('전라남도', '화순')",0.0
194,"('전라남도', '화순')","('경상북도', '청도')",0.0
195,"('경상북도', '청도')","('전라남도', '화순')",0.0
196,"('전라남도', '화순')","('전라북도', '전주')",
197,"('전라북도', '전주')","('전라남도', '화순')",
198,"('전라남도', '화순')","('세종', '세종')",1.0
199,"('세종', '세종')","('전라남도', '화순')",1.0
200,"('전라남도', '화순')","('경기도', '가평')",
201,"('경기도', '가평')","('전라남도', '화순')",
202,"('전라남도', '화순')","('전라남도', '광양')",
203,"('전라남도', '광양')","('전라남도', '화순')",
204,"('전라남도', '화순')","('전라남도', '여수')",
205,"('전라남도', '여수')","('전라남도', '화순')",
206,"('전라남도', '화순')","('경상북도', '예천')",0.0
207,"('경상북도', '예천')","('전라남도', '화순')",0.0
208,"('전라남도', '화순')","('광주', '광주')",1.0
209,"('광주', '광주')","('전라남도', '화순')",1.0
210,"('전라남도', '화순')","('충청남도', '천안')",
211,"('충청남도', '천안')","('전라남도', '화순')",
212,"('전라남도', '화순')","('경상북도', '군위')",
213,"('경상북도', '군위')","('전라남도', '화순')",
214,"('전라남도', '화순')","('경상북도', '의성')",
215,"('경상북도', '의성')","('전라남도', '화순')",
216,"('전라남도', '화순')","('경상남도', '김해')",1.0
217,"('경상남도', '김해')","('전라남도', '화순')",1.0
218,"('전라남도', '화순')","('경기도', '평택')",1.0
219,"('경기도', '평택')","('전라남도', '화순')",1.0
220,"('전라남도', '화순')","('경기도', '파주')",0.0
221,"('경기도', '파주')","('전라남도', '화순')",0.0
222,"('전라남도', '화순')","('경상북도', '경산')",
223,"('경상북도', '경산')","('전라남도', '화순')",
224,"('전라남도', '화순')","('충청남도', '계룡')",1.0
225,"('충청남도', '계룡')","('전라남도', '화순')",1.0
226,"('전라남도', '화순')","('전라남도', '목포')",
227,"('전라남도', '목포')","('전라남도', '화순')",
228,"('전라남도', '화순')","('전라남도', '나주')",1.0
229,"('전라남도', '나주')","('전라남도', '화순')",1.0
230,"('전라남도', '화순')","('대구', '대구')",
231,"('대구', '대구')","('전라남도', '화순')",
232,"('전라남도', '화순')","('충청남도', '보령')",
233,"('충청남도', '보령')","('전라남도', '화순')",
234,"('전라남도', '화순')","('강원도', '삼척')",0.0
235,"('강원도', '삼척')","('전라남도', '화순')",0.0
236,"('전라남도', '화순')","('경상남도', '밀양')",
237,"('경상남도', '밀양')","('전라남도', '화순')",
238,"('전라남도', '화순')","('경기도', '안양')",
239,"('경기도', '안양')","('전라남도', '화순')",
240,"('전라남도', '화순')","('충청남도', '공주')",
241,"('충청남도', '공주')","('전라남도', '화순')",
242,"('전라남도', '화순')","('충청북도', '단양')",
243,"('충청북도', '단양')","('전라남도', '화순')",
244,"('전라남도', '화순')","('경기도', '고양')",
